recuperados a nivel nacional,Casos_fallecidos,Casos_totales_nuevos,Casos_totales_dia,Casos_activos,Casos_nuevos_con_síntomas,Casos_nuevos_sin síntomas,ID_Dia,Fecha
0,0,1,1,0,0,0,1,2020-03-03
0,0,3,2,0,0,0,2,2020-03-04
0,0,4,1,0,0,0,3,2020-03-05
0,0,5,1,0,0,0,4,2020-03-06
0,0,7,2,0,0,0,5,2020-03-07
0,0,10,3,0,0,0,6,2020-03-08
0,0,13,3,0,0,0,7,2020-03-09
0,0,17,4,0,0,0,8,2020-03-10
0,0,23,6,0,0,0,9,2020-03-11
0,0,33,10,0,0,0,10,2020-03-12
0,0,43,10,0,0,0,11,2020-03-13
0,0,61,18,0,0,0,12,2020-03-14
0,0,75,14,0,0,0,13,2020-03-15
0,0,156,81,0,0,0,14,2020-03-16
0,0,201,45,0,0,0,15,2020-03-17
0,0,238,37,0,0,0,16,2020-03-18
5,0,342,104,0,0,0,17,2020-03-19
6,0,434,92,0,0,0,18,2020-03-20
8,0,537,103,0,0,0,19,2020-03-21
8,1,632,95,0,0,0,20,2020-03-22
11,2,746,114,0,0,0,21,2020-03-23
17,2,922,176,0,0,0,22,2020-03-24
22,3,1142,220,0,0,0,23,2020-03-25
33,4,1306,164,0,0,0,24,2020-03-26
43,5,1610,304,0,0,0,25,2020-03-27
61,6,1909,299,0,0,0,26,2020-03-28
75,7,2139,230,0,0,0,27,2020-03-29
156,8,2449,310,0,0,0,28,2020-03-30
156,12,2738,289,0,0,0,29,2020-03-31
234,16,3031,293,2793,0,0,30,2020-04-01
335,18,3404,373,3062,0,0,31,2020-04-02
427,22,3737,333,3303,0,0,32,2020-04-03
528,27,4161,424,3624,0,0,33,2020-04-04
528,34,4471,310,3839,0,0,34,2020-04-05
728,37,4815,344,4069,0,0,35,2020-04-06
898,43,5116,301,4194,0,0,36,2020-04-07
1115,48,5546,430,4404,0,0,37,2020-04-08
1274,57,5972,426,4666,0,0,38,2020-04-09
1571,65,6501,529,4891,529,0,39,2020-04-10
1864,73,6927,426,5018,426,0,40,2020-04-11
2059,80,7213,286,5074,286,0,41,2020-04-12
2367,82,7525,312,5076,312,0,42,2020-04-13
2646,92,7917,392,5179,392,0,43,2020-04-14
2937,94,8273,356,5242,356,0,44,2020-04-15
3299,105,8807,534,5403,534,0,45,2020-04-16
3621,116,9252,445,5515,445,0,46,2020-04-17
4035,126,9730,478,5569,478,0,47,2020-04-18
4338,133,10088,358,5617,358,0,48,2020-04-19
4476,139,10507,419,5692,419,0,49,2020-04-20
4969,147,10832,325,5716,325,0,50,2020-04-21
5386,160,11296,464,5750,464,0,51,2020-04-22
5804,168,11812,516,5840,516,0,52,2020-04-23
6327,174,12306,494,5805,494,0,53,2020-04-24
6746,181,12858,552,5931,552,0,54,2020-04-25
7024,189,13331,473,6118,473,0,55,2020-04-26
7327,198,13813,482,6288,482,0,56,2020-04-27
7710,207,14365,552,6448,552,0,57,2020-04-28
8057,216,15135,770,6862,520,250,58,2020-04-29
8580,227,16023,888,7216,780,108,59,2020-04-30
9018,234,17008,985,7756,882,103,60,2020-05-01
9572,247,18435,1427,8615,1246,181,61,2020-05-02
10041,260,19663,1228,9362,1112,116,62,2020-05-03
10415,270,20643,980,9958,876,104,63,2020-05-04
10710,275,22016,1317,11031,1317,56,64,2020-05-05
11189,281,23048,1032,11578,893,139,65,2020-05-06
11664,285,24581,1533,12632,1343,190,66,2020-05-07
12160,294,25972,1391,13518,1183,208,67,2020-05-08
12667,304,27219,1247,14248,1004,243,68,2020-05-09
13112,312,28866,1647,15438,1406,241,69,2020-05-10
13605,323,30063,1197,16135,975,222,70,2020-05-11
14125,335,31721,1658,17261,1479,179,71,2020-05-12
14865,346,34381,2660,19170,2152,508,72,2020-05-13
