Región,Casos nuevos,Casos totales,% Casos totales**,Fallecidos
Arica y Parinacota,7,252,"1,89 %",3
Tarapacá,13,156,"1,17 %",1
Antofagasta,52,443,"3,32 %",4
Atacama,5,29,"0,22 %",0
Coquimbo,0,73,"0,55 %",0
Valparaíso,6,460,"3,45 %",9
Metropolitana,331,7496,"56,23 %",91
O’Higgins,7,92,"0,69 %",1
Maule,4,354,"2,66 %",11
Ñuble,6,731,"5,48 %",14
Biobío,7,703,"5,27 %",6
Araucanía,13,1216,"9,12 %",29
Los Ríos,1,178,"1,34 %",3
Los Lagos,8,473,"3,55 %",8
Aysén,0,7,"0,05 %",0
Magallanes,13,668,"5,01 %",9
