recuperados a nivel nacional,Casos_fallecidos,Casos_totales_nuevos,Casos_totales_dia,Fecha
0,0,1,1,2020-03-03
0,0,3,2,2020-03-04
0,0,4,1,2020-03-05
0,0,5,1,2020-03-06
0,0,7,2,2020-03-07
0,0,10,3,2020-03-08
0,0,13,3,2020-03-09
0,0,17,4,2020-03-10
0,0,23,6,2020-03-11
0,0,33,10,2020-03-12
0,0,43,10,2020-03-13
0,0,61,18,2020-03-14
0,0,75,14,2020-03-15
0,0,156,81,2020-03-16
0,0,201,45,2020-03-17
0,0,238,37,2020-03-18
5,0,342,104,2020-03-19
6,0,434,92,2020-03-20
8,0,537,103,2020-03-21
8,1,632,95,2020-03-22
11,2,746,114,2020-03-23
17,2,922,176,2020-03-24
22,3,1142,220,2020-03-25
33,4,1306,164,2020-03-26
43,5,1610,304,2020-03-27
61,6,1909,299,2020-03-28
75,7,2139,230,2020-03-29
156,8,2449,310,2020-03-30
156,12,2738,289,2020-03-31
234,16,3031,293,2020-04-01
335,18,3404,373,2020-04-02
427,22,3737,333,2020-04-03
528,27,4161,424,2020-04-04
528,34,4471,310,2020-04-05
728,37,4815,344,2020-04-06
898,43,5116,301,2020-04-07
1115,48,5546,430,2020-04-08
1274,57,5972,426,2020-04-09
1571,65,6501,529,2020-04-10
1864,73,6927,426,2020-04-11
2059,80,7213,286,2020-04-12
2367,82,7525,312,2020-04-13
2646,92,7917,392,2020-04-14
2937,94,8273,356,2020-04-15
3299,105,8807,534,2020-04-16
3621,116,9252,445,2020-04-17
4035,126,9730,478,2020-04-18
4338,133,10088,358,2020-04-19
4476,139,10507,419,2020-04-20
4969,147,10832,325,2020-04-21
5386,160,11296,464,2020-04-22
5804,168,11812,516,2020-04-23
6327,174,12306,494,2020-04-24
6746,181,12858,552,2020-04-25
7024,189,13331,473,2020-04-26
7327,198,13813,482,2020-04-27
7710,207,14365,552,2020-04-28
8057,216,15135,770,2020-04-29
8580,227,16023,888,2020-04-30
9018,234,17008,985,2020-05-01
9572,247,18435,1427,2020-05-02
10041,260,19663,1228,2020-05-03
10415,270,20643,980,2020-05-04
